province,commodity,year,min_price,max_price,avg_price,median_price,count,is_predicted
ACEH,Broiler Chicken Meat,2022,27570.0,33170.0,29996.030303030304,29625.0,330,False
ACEH,Broiler Chicken Meat,2023,27460.0,35680.0,30278.054794520547,29710.0,365,False
ACEH,Broiler Chicken Meat,2024,27800.0,35550.0,30706.985294117647,30815.0,272,False
ACEH,Bulk Cooking Oil,2022,12550.0,15950.0,13720.045454545454,13350.0,220,False
ACEH,Bulk Cooking Oil,2023,13250.0,14710.0,13834.520547945205,13770.0,365,False
ACEH,Bulk Cooking Oil,2024,13790.0,17000.0,15185.588235294117,15300.0,272,False
ACEH,Bulk Wheat Flour,2022,8730.0,11610.0,10286.030303030304,10400.0,330,False
ACEH,Bulk Wheat Flour,2023,10790.0,11780.0,11211.342465753425,11250.0,365,False
ACEH,Bulk Wheat Flour,2024,10420.0,11490.0,10803.75,10800.0,272,False
ACEH,Chicken Eggs,2022,19730.0,28960.0,23877.78787878788,24275.0,330,False
ACEH,Chicken Eggs,2023,23220.0,27630.0,25372.87671232877,24990.0,365,False
ACEH,Chicken Eggs,2024,24130.0,27950.0,25973.970588235294,26055.0,272,False
ACEH,Consumption Sugar,2022,13370.0,14990.0,14487.90909090909,14460.0,330,False
ACEH,Consumption Sugar,2023,14480.0,18130.0,15325.671232876712,14880.0,365,False
ACEH,Consumption Sugar,2024,17420.0,19200.0,18154.632352941175,18110.0,272,False
ACEH,Curly Red Chili,2022,17970.0,98980.0,46763.84848484849,39175.0,330,False
ACEH,Curly Red Chili,2023,19920.0,61270.0,38066.6301369863,36820.0,365,False
ACEH,Curly Red Chili,2024,25510.0,72240.0,45529.22794117647,44015.0,272,False
ACEH,Garlic,2022,23240.0,31540.0,26637.969696969696,25355.0,330,False
ACEH,Garlic,2023,24300.0,41900.0,34008.46575342466,36100.0,365,False
ACEH,Garlic,2024,36630.0,42400.0,39845.11029411765,39560.0,272,False
ACEH,Medium Rice,2022,10570.0,11300.0,10925.09090909091,10825.0,330,False
ACEH,Medium Rice,2023,11130.0,13680.0,12046.356164383562,11610.0,365,False
ACEH,Medium Rice,2024,12500.0,13530.0,13290.808823529413,13290.0,272,False
ACEH,Premium Rice,2022,11570.0,12320.0,11947.848484848484,11865.0,330,False
ACEH,Premium Rice,2023,12300.0,14790.0,13258.164383561643,12790.0,365,False
ACEH,Premium Rice,2024,13500.0,14870.0,14566.360294117647,14580.0,272,False
ACEH,Pure Beef,2022,146250.0,172670.0,151410.30303030304,151935.0,330,False
ACEH,Pure Beef,2023,151980.0,176140.0,154560.65753424657,154290.0,365,False
ACEH,Pure Beef,2024,150000.0,176340.0,154244.30147058822,153750.0,272,False
ACEH,Red Cayenne Pepper,2022,24000.0,55000.0,44988.10810810811,46370.0,74,False
ACEH,Red Cayenne Pepper,2023,18000.0,70000.0,37818.181818181816,35000.0,11,False
ACEH,Red Cayenne Pepper,2024,14000.0,75000.0,49897.51824817518,50000.0,137,False
ACEH,Shallots,2022,28800.0,57580.0,35053.42424242424,33985.0,330,False
ACEH,Shallots,2023,21860.0,38280.0,31130.328767123287,31930.0,365,False
ACEH,Shallots,2024,25490.0,61030.0,39203.67647058824,37155.0,272,False
ACEH,Simple Packaged Cooking Oil,2022,15040.0,22840.0,19791.969696969696,19715.0,330,False
ACEH,Simple Packaged Cooking Oil,2023,16880.0,19550.0,18169.424657534248,18280.0,365,False
ACEH,Simple Packaged Cooking Oil,2024,17020.0,18970.0,18228.235294117647,18370.0,272,False
BALI,Broiler Chicken Meat,2022,34590.0,42710.0,38318.36363636364,37975.0,330,False
BALI,Broiler Chicken Meat,2023,35150.0,43660.0,39043.83561643836,39080.0,365,False
BALI,Broiler Chicken Meat,2024,36450.0,42020.0,39363.992673992674,39360.0,273,False
BALI,Bulk Cooking Oil,2022,13600.0,19630.0,14887.863636363636,14400.0,220,False
BALI,Bulk Cooking Oil,2023,14380.0,16180.0,15371.369863013699,15350.0,365,False
BALI,Bulk Cooking Oil,2024,14100.0,17000.0,15614.395604395604,15690.0,273,False
BALI,Bulk Wheat Flour,2022,9000.0,12130.0,10653.30303030303,10595.0,330,False
BALI,Bulk Wheat Flour,2023,11080.0,12330.0,11740.794520547945,11750.0,365,False
BALI,Bulk Wheat Flour,2024,10000.0,12270.0,10960.65934065934,10980.0,273,False
BALI,Chicken Eggs,2022,20410.0,32000.0,24098.242424242424,24035.0,330,False
BALI,Chicken Eggs,2023,25320.0,31200.0,27364.630136986303,27260.0,365,False
